ExternalId,BetlabEventKey,NameLng1,NameText1,NameLng2,NameText2,GroupCommentLng1,GroupCommentText1,GroupCommentLng2,GroupCommentText2
31232687,PT52:PR456:PR471:1522343400,en,MLB|:New York Mets - Saint Louis Cardinals,ru,MLB|:Нью-Йорк Метс - Сент-Луис Кардиналс,,,,
31226360,PT510:PR32098:1523034000,en,Champions League|Outrights:FTC-Rail Cargo Hungaria(HUN),ru,Лига Чемпионов|Итоги:Ференцварош(HUN),,,,
31225070,PT8:PR7164:PR1332:1522513800,en,Eredivisie|:Vitesse - Roda JC,ru,Eredivisie|:Витесс - Рода,,,,
31226726,PT699:PR31852:1523012400,en,Formula 1. WCC. Futures|Motor Sports. Constructors Championship 2018. Winner:Force India,ru,Формула 1. Кубок конструкторов. Итоги|Авто-мотоспорт. Победитель сезона 2018:Форс Индия,,,,
31224976,PT6:PR38:PR35:1523116800,en,Serie A|:Roma - Fiorentina,ru,Серия А|:Рома - Фиорентина,,,,
31225987,PT390:PR30706:PR21644:1522278000,en,|Le Gosier. Hard:Harrison Christian - Mina Gianni,ru,|Ле-Гозье. Хард:Харрисон Кристиан - Мина Джанни,,,,
31230091,PT3196:PR691:1530385200,en,Pro A 2017/18. Futures|:ASVEL,ru,Про A 2017/18. Итоги|:АСВЕЛ,,,,
31227046,PT887:PR24:PR2801:1522584000,en,Liga 3|:Unterhaching - 1. FC Magdeburg,ru,Лига 3|:Унтерхахинг - Магдебург,,,,
31226555,PT604:PR2824:PR11:1522504800,en,Premier League. Stats|:match stat Brighton - match stat Leicester,ru,Премьер-Лига. Статистика|:стат.матч Брайтон - стат.матч Лестер,,,,
31228971,PT2651:PR17158:1533405600,en,Super Rugby| Futures:Bulls(ZAF),ru,Супер Регби| Итоги:Буллз(ZAF),,,,
31229177,PT2834:PR13998-PR22376:PR72396-PR39348:1522278000,en,Doubles|Le Gosier:Polansky Peter/Shamasdin Adil - Hach Verdugo Hans/Schnur Brayden,ru,Пары|Ле-Гозье:Полански Питер/Шамасдин Адиль - Хэч Вердуго Ханс/Шнар Брайден,,,,
31228209,PT2341:PR48096:PR85428:1522418400,en,Ryman League|Premier Division:Dulwich Hamlet - Dorking Wanderers FC,ru,Райман Лига|Премьер-дивизион:Далвич Хэмлет - Доркинг Уондерерс,,,,
